TimeGenerated,IoC,IoC_Type,ExpirationDateTime,Description,Action ,ConfidenceScore,ThreatType,Active,Type,TrafficLightProtocolLevel,ActivityGroupNames
9/16/2023,103.99.209.78,IP,1/21/2021 13:34,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,104.224.185.36,IP,11/18/2023 23:41,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,104.233.224.227,IP,11/18/2023 22:12,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,104.36.69.105,IP,10/16/2023 13:58,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,107.148.130.176,IP,2/7/2021 19:33,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,107.174.45.134,IP,12/29/2023 13:03,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,107.175.189.159,IP,3/29/2021 1:13,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Supply Chain Attack ,TRUE,Rapid Release TI,Green,Barium
9/16/2023,107.182.18.149,IP,1/14/2021 22:03,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
9/16/2023,107.182.24.70,IP,11/19/2023 15:52,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
9/16/2023,108.61.214.194,IP,2/3/2021 19:07,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
9/16/2023,119.28.139.120,IP,10/14/2023 11:52,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
9/16/2023,119.28.226.59,IP,9/13/2023 18:51,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
9/16/2023,124.156.164.19,IP,9/27/2023 14:34,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
9/16/2023,140.238.27.255,IP,11/28/2023 19:19,Ioc related to Barium Threat Actor  (https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913),Alert,100,Botnet,TRUE,Rapid Release TI,Green,Barium
